code,name,category,purchase_price,sale_price,wholesale_price,stock,min_stock,unit,is_active
FER-45181,"Básico Manguera 1/2"" x 15m",Herramientas,2610.73,4008.45,3527.44,220,5,MT,1
FER-45205,Industrial Pintura Esmalte Blanco,Herramientas,4987.13,7890.99,6944.07,20,10,M,1
FER-78161,"Galvanizado Broca 1/4""",Herramientas,3803.04,6033.83,5309.77,23,3,M,1
FER-89215,Galvanizado Lija al Agua #180,Jardín,4699.10,7968.47,7012.25,24,2,M,1
FER-32068,Básico Cerradura para Puerta,Herramientas,1658.53,2803.46,2467.04,37,2,CAJA,0
FER-94436,Acero Inoxidable Cinta Aislante,Fontanería,4155.17,6520.30,5737.86,258,5,CAJA,1
FER-96717,PVC Codo 90°,Herramientas,2976.65,4030.38,3546.73,35,2,M,1
FER-29010,"Profesional Brocha 2""",Construcción,2687.82,4745.61,4176.14,220,3,KG,1
FER-66319,Pesado Cerradura para Puerta,Automotriz,2110.07,3588.45,3157.84,156,2,MT,1
FER-43107,"Industrial Tornillo P/Tablaroca 1 5/8"" Caja 100",Construcción,3001.62,4431.29,3899.54,215,10,LT,1
FER-97684,Premium Válvula de Compuerta,Automotriz,4844.19,8492.31,7473.23,445,15,M,1
FER-41895,Económico Cable THW #12,Tubería,799.96,1075.97,946.85,163,15,CAJA,1
FER-47966,"Básico Nivel de Aluminio 24""",Jardín,4343.30,7461.41,6566.04,24,10,LT,1
FER-40009,Acero Inoxidable Taladro Percutor,Tubería,4133.03,6354.24,5591.73,238,3,LT,1
FER-75367,PVC Cubeta 19L,Eléctrico,509.69,680.11,598.50,4,10,CAJA,1
FER-64067,Básico Carretilla 6.5ft³,Seguridad,4072.27,5696.01,5012.49,63,10,M,0
FER-33258,Reforzado Foco LED 12W,Construcción,829.44,1318.12,1159.95,26,2,CAJA,1
FER-18029,"Galvanizado Arandela 1/2"" Caja 100",Eléctrico,4066.37,7066.13,6218.19,211,1,CAJA,1
FER-84702,Económico Candado 40mm,Seguridad,4624.63,8167.97,7187.81,5,3,M,1
FER-95264,"Premium Arandela 1/2"" Caja 100",Herramientas,3536.13,6354.45,5591.92,45,5,M,1
FER-66322,Acero Inoxidable Lija al Agua #180,Fontanería,3156.20,5272.34,4639.66,46,2,CAJA,1
