code,name,description,category_id,purchase_price,sale_price,stock,min_stock,unit,requires_tax
HEM-001,Martillo de Uña 16oz,Martillo de acero forjado con mango de fibra,1,35.00,75.00,50,10,pza,true
HEM-002,Desarmador Plano 1/4x6,Desarmador punta plana mango ergonómico,1,8.00,18.00,100,20,pza,true
HEM-003,Desarmador Phillips #2x6,Desarmador punta cruz mango ergonómico,1,8.00,18.00,100,20,pza,true
HEM-004,Martillo de Goma 24oz,Martillo de goma mango de madera,1,25.00,55.00,40,10,pza,true
HEM-005,Cinta Métrica 5m,Cinta métrica metálica 5m x 19mm,1,12.00,28.00,80,15,pza,true
HEM-006,Nivel de Mano 24",Nivel de aluminio 24 pulgadas con imán,1,30.00,65.00,35,8,pza,true
HEM-007,Pinza Universal 8",Pinza de corte y sujeción acero cromo-vanadio,1,18.00,40.00,60,12,pza,true
HEM-008,Arco de Sierra 12",Arco para segueta metálica ajustable,1,20.00,45.00,30,6,pza,true
HEM-009,Llave Ajustable 10",Llave perica con ajuste pulgadas/métrico,1,40.00,85.00,40,8,pza,true
HEM-010,Juego de Llaves Allen 1.5-10mm,Juego 9 piezas hexagonales métricas,1,25.00,55.00,45,10,pza,true
HEM-011,Playo de Presión 10",Pinza de presión ajustable,1,22.00,48.00,50,10,pza,true
HEM-012,Cincel Plano 3/4 x 8,Cincel de acero para concreto,1,12.00,28.00,30,6,pza,true
HEM-013,Lima Plana 10",Lima de acero con mango,1,15.00,35.00,40,8,pza,true
HEM-014,Juego de Brochas 1/2-2-3",Juego 3 brochas de cerdas sintéticas,1,18.00,40.00,50,10,pza,true
HEM-015,Cuter Retráctil 18mm,Cuchilla retráctil con almacén,1,7.00,16.00,100,20,pza,true
HEL-01,Taladro Percutor 1/2",Taladro eléctrico 600W con mandril,2,150.00,350.00,20,5,pza,true
HEL-02,Esmeril Angular 4 1/2",Esmeril angular 750W con disco,2,200.00,480.00,15,3,pza,true
HEL-03,Caladora Eléctrica 500W,Caladora con velocidad variable,2,180.00,420.00,12,3,pza,true
HEL-04,Sierra Circular 7 1/4",Sierra circular 1200W con guía,2,250.00,580.00,10,2,pza,true
